CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000007A,41-2A-001,043+0.223,044+0.058,N-7,22,0.85,6299.0,5354.15,,RAVALLI,,US-93,NI-NHS,4.4,1431.590909090909,1216.8522727272723,"['', 41, '-', 2, 'A-', 1, '']"
C000007A,41-2A-001,044+0.058,044+0.537,N-7,19,0.479,6299.0,3017.221,,RAVALLI,,US-93,NI-NHS,3.8,1657.6315789473686,794.0055263157896,"['', 41, '-', 2, 'A-', 1, '']"
C000007A,41-2A-026,044+0.537,046+0.623,N-7,80,2.089,9979.5,20847.1755,,RAVALLI,,US-93,NI-NHS,16.0,623.71875,1302.94846875,"['', 41, '-', 2, 'A-', 26, '']"
C000007A,41-2A-014,046+0.623,047+0.042,N-7,33,0.416,13490.5,5612.048,,RAVALLI,,US-93,NI-NHS,6.6,2044.0151515151515,850.3103030303031,"['', 41, '-', 2, 'A-', 14, '']"
C000007A,41-2A-015,047+0.042,047+0.331,N-7,32,0.289,15130.25,4372.64225,,RAVALLI,,US-93,NI-NHS,6.4,2364.1015625,683.2253515624999,"['', 41, '-', 2, 'A-', 15, '']"
C000007A,41-2A-016,047+0.331,047+0.659,N-7,40,0.328,15938.0,5227.664000000001,,RAVALLI,,US-93,NI-NHS,8.0,1992.25,653.4580000000001,"['', 41, '-', 2, 'A-', 16, '']"
C000007A,41-2A-017,047+0.659,048+0.007,N-7,79,0.354,15210.25,5384.4285,,RAVALLI,,US-93,NI-NHS,15.8,962.6740506329112,340.78661392405064,"['', 41, '-', 2, 'A-', 17, '']"
C000007A,41-2A-002,048+0.007,049+0.227,N-7,78,1.209,15283.25,18477.44925,,RAVALLI,,US-93,NI-NHS,15.6,979.6955128205128,1184.4518750000002,"['', 41, '-', 2, 'A-', 2, '']"
C000007A,A-056,049+0.227,051+0.964,N-7,113,2.722,14258.25,38810.9565,,RAVALLI,,US-93,NI-NHS,22.6,630.896017699115,1717.2989601769912,"['A-', 56, '']"
C000007A,41-2A-004,051+0.964,055+0.960,N-7,114,4.02,14456.0,58113.119999999995,,RAVALLI,,US-93,NI-NHS,22.8,634.0350877192982,2548.821052631579,"['', 41, '-', 2, 'A-', 4, '']"
C000007A,41-1-001,055+0.960,060+0.007,N-7,87,3.994,10932.75,43665.4035,,RAVALLI,,US-93,NI-NHS,17.4,628.3189655172414,2509.5059482758625,"['', 41, '-', 1, '-', 1, '']"
C000007A,41-1-001,060+0.007,060+0.637,N-7,9,0.631,10932.75,6898.56525,,RAVALLI,,US-93,NI-NHS,1.8,6073.75,3832.53625,"['', 41, '-', 1, '-', 1, '']"
C000007A,41-1-001,060+0.637,061+0.123,N-7,12,0.486,10932.75,5313.3165,,RAVALLI,,US-93,NI-NHS,2.4,4555.3125,2213.881875,"['', 41, '-', 1, '-', 1, '']"
C000007A,41-1-002,061+0.123,066+0.743,N-7,128,5.611,10827.25,60751.69975,,RAVALLI,,US-93,NI-NHS,25.6,422.939453125,2373.1132714843748,"['', 41, '-', 1, '-', 2, '']"
C000007A,41-1-003,066+0.743,071+0.575,N-7,91,4.827,11403.0,55042.281,,RAVALLI,,US-93,NI-NHS,18.2,626.5384615384615,3024.301153846154,"['', 41, '-', 1, '-', 3, '']"
C000007A,A-047,071+0.575,074+0.752,N-7,96,3.142,11603.5,36458.197,,RAVALLI,,US-93,NI-NHS,19.2,604.3489583333334,1898.864427083333,"['A-', 47, '']"
C000007A,32-3-005,074+0.752,076+0.856,N-7,44,2.137,15284.25,32662.44225,,RAVALLI,,US-93,NI-NHS,8.8,1736.8465909090908,3711.641164772727,"['', 32, '-', 3, '-', 5, '']"
C000007A,32-3-005,076+0.856,080+0.640,N-7,74,3.76,15284.25,57468.78,,MISSOULA,,US-93,NI-NHS,14.8,1032.7195945945946,3883.0256756756753,"['', 32, '-', 3, '-', 5, '']"
C000007A,32-3-006,080+0.640,083+0.387,N-7,91,2.899,19445.25,56371.77975,,MISSOULA,,US-93,NI-NHS,18.2,1068.4203296703297,3097.350535714286,"['', 32, '-', 3, '-', 6, '']"
C000007A,32-3B-003,083+0.387,088+0.851,N-7,316,5.47,24736.0,135305.91999999998,,MISSOULA,,US-93,NI-NHS,63.2,391.3924050632911,2140.9164556962023,"['', 32, '-', 3, 'B-', 3, '']"
C000007A,32-3A-019,088+0.851,090+0.360,N-7,101,1.485,26989.5,40079.4075,,MISSOULA,,US-93,NI-NHS,20.2,1336.1138613861388,1984.129084158416,"['', 32, '-', 3, 'A-', 19, '']"
C000007A,32-3A-020,090+0.360,090+0.653,N-7,18,0.293,32594.0,9550.042,,MISSOULA,,US-93,NI-NHS,3.6,9053.888888888889,2652.789444444444,"['', 32, '-', 3, 'A-', 20, '']"
C000007A,32-3A-021,090+0.653,090+0.921,N-7,94,0.268,32181.5,8624.642,,MISSOULA,,US-93,NI-NHS,18.8,1711.7819148936169,458.7575531914893,"['', 32, '-', 3, 'A-', 21, '']"
C000007A,32-3A-022,090+0.921,091+0.501,N-7,63,0.598,21578.25,12903.7935,,MISSOULA,,US-93,NI-NHS,12.6,1712.559523809524,1024.1105952380954,"['', 32, '-', 3, 'A-', 22, '']"
C000007A,32-3A-289,091+0.501,091+0.725,N-7,19,0.224,23060.0,5165.4400000000005,,MISSOULA,,US-93,NI-NHS,3.8,6068.421052631579,1359.326315789474,"['', 32, '-', 3, 'A-', 289, '']"
C000007A,32-3A-288,091+0.725,092+0.024,N-7,40,0.256,22494.75,5758.656,,MISSOULA,,US-93,NI-NHS,8.0,2811.84375,719.832,"['', 32, '-', 3, 'A-', 288, '']"
C000007A,32-3A-023,092+0.024,092+0.262,N-7,70,0.238,27228.5,6480.383,,MISSOULA,,US-93,NI-NHS,14.0,1944.892857142857,462.8845,"['', 32, '-', 3, 'A-', 23, '']"
C000007A,32-3A-023,092+0.262,092+0.292,N-7,2,0.031,27228.5,844.0835,,MISSOULA,,US-93,NI-NHS,0.4,68071.25,2110.20875,"['', 32, '-', 3, 'A-', 23, '']"
C000007A,32-3A-024,092+0.292,092+0.391,N-7,27,0.098,26752.5,2621.745,,MISSOULA,,US-93,NI-NHS,5.4,4954.166666666666,485.50833333333327,"['', 32, '-', 3, 'A-', 24, '']"
C000007A,32-3A-024,092+0.391,092+0.608,N-7,17,0.217,26752.5,5805.2925,,MISSOULA,,US-93,NI-NHS,3.4,7868.382352941177,1707.4389705882352,"['', 32, '-', 3, 'A-', 24, '']"
C000007A,32-3A-025,092+0.608,092+0.932,N-7,19,0.323,12913.5,4171.0605000000005,,MISSOULA,,US-93,NI-NHS,3.8,3398.289473684211,1097.6475000000005,"['', 32, '-', 3, 'A-', 25, '']"
C000007A,32-3A-025,092+0.932,093+0.003,N-7,3,0.067,12913.5,865.2045,,MISSOULA,,US-93,NI-NHS,0.6,21522.5,1442.0075000000002,"['', 32, '-', 3, 'A-', 25, '']"
C000007A,32-3A-025,093+0.003,093+0.007,N-7,0,0.004,12913.5,51.654,,MISSOULA,,US-93,NI-NHS,0.0,,,"['', 32, '-', 3, 'A-', 25, '']"
C000007A,32-3A-026,093+0.007,093+0.344,N-7,25,0.337,10410.75,3508.42275,,MISSOULA,,US-93,NI-NHS,5.0,2082.15,701.6845500000001,"['', 32, '-', 3, 'A-', 26, '']"
C000007A,32-3A-026,093+0.344,093+0.673,N-7,37,0.329,10410.75,3425.13675,,MISSOULA,,US-93,NI-NHS,7.4,1406.858108108108,462.85631756756754,"['', 32, '-', 3, 'A-', 26, '']"
C000007A,32-3A-027,093+0.673,094+0.053,N-7,21,0.066,19512.75,1287.8415,,MISSOULA,,US-93,NI-NHS,4.2,4645.892857142857,306.62892857142856,"['', 32, '-', 3, 'A-', 27, '']"
C000007A,32-3A-029,094+0.053,094+0.441,N-7,94,0.388,5800.25,2250.497,,MISSOULA,,US-93,NI-NHS,18.8,308.5239361702128,119.70728723404254,"['', 32, '-', 3, 'A-', 29, '']"
C000007A,32-3A-032,095+0.003,095+0.199,N-7,16,0.196,20225.5,3964.198,,MISSOULA,,US-93,NI-NHS,3.2,6320.46875,1238.811875,"['', 32, '-', 3, 'A-', 32, '']"
C000007A,32-3A-032,095+0.199,095+0.282,N-7,4,0.083,18393.0,1526.619,,MISSOULA,,US-93,NI-NHS,0.8,22991.25,1908.27375,"['', 32, '-', 3, 'A-', 32, '']"
C000007A,32-3A-017,095+0.282,095+0.503,N-7,38,0.221,21390.0,4727.19,,MISSOULA,,US-93,NI-NHS,7.6,2814.4736842105262,621.9986842105263,"['', 32, '-', 3, 'A-', 17, '']"
C000007A,32-3A-018,095+0.503,095+0.590,N-7,2,0.087,12063.0,1049.481,,MISSOULA,,US-93,NI-NHS,0.4,30157.5,2623.7025,"['', 32, '-', 3, 'A-', 18, '']"
C000007A,32-3A-018,095+0.590,095+0.687,N-7,2,0.098,12063.0,1182.174,,MISSOULA,,US-93,NI-NHS,0.4,30157.5,2955.435,"['', 32, '-', 3, 'A-', 18, '']"
