YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU
2023.0,L-10-447,A,2.016,C010447,A,C010447A,000+0.000,002+0.016,0.0,2.016,080310M,,,E,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,DANIELS,JCT P-32,ENT L-10-447A/,0.0,0.0
2023.0,L-56-2402,A,0.62,C010446,A,C010446A,000+0.000,000+0.620,0.0,0.62,56-4A-149,,,E,5858.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,YELLOWSTONE,JCT U-1004 (GRAND AVE),ENT L-56-2402A/,0.0,0.0
2023.0,L-38-124,A,10.295,C038124,A,C038124A,000+0.000,010+0.295,0.0,10.295,38-4-003,,,E,26.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,POWDER RIVER,JCT S-484,ENT L-38-124A/,0.0,0.0
2023.0,L-56-2401,A,0.268,C010435,A,C010435A,001+0.005,001+0.274,1.005,1.274,56-4A-170,,,E,3439.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,YELLOWSTONE,,,0.0,0.0
2023.0,L-27-333,A,1.878,C027333,A,C027333A,000+0.000,001+0.878,0.0,1.878,059182F,,,E,62.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_12,0.0,14.0,147.0,0.0,0.0,0.0,0.0,,2.0,,LINCOLN,JCT FORTINE CREEK RD,ENT L-27-333A/,0.0,0.0
2023.0,L-56-2401,A,0.409,C010435,A,C010435A,000+0.596,001+0.005,0.596,1.005,56-4A-171,,,E,6796.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,YELLOWSTONE,,,0.0,0.0
2023.0,L-56-2401,A,0.253,C010435,A,C010435A,000+0.000,000+0.253,0.0,0.253,56-4A-173,,,A,2977.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,YELLOWSTONE,JCT U-1002 (RIMROCK RD),ENT L-56-2401A/,0.0,0.0
2023.0,L-56-2400,A,0.828,C010430,A,C010430A,000+0.751,001+0.578,0.751,1.578,56-4A-176,,,A,6098.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,YELLOWSTONE,,,0.0,0.0
2023.0,L-56-2400,A,0.344,C010430,A,C010430A,000+0.407,000+0.751,0.407,0.751,56-4A-177,,,A,4509.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,YELLOWSTONE,,,0.0,0.0
2023.0,L-56-2400,A,0.407,C010430,A,C010430A,000+0.000,000+0.407,0.0,0.407,56-4A-178,,,E,3786.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,YELLOWSTONE,JCT PARKHILL DR,ENT L-56-2400A/,0.0,0.0
2023.0,L-25-295,A,2.391,C025295,A,C025295A,005+0.254,007+0.645,5.254,7.645,25-7A-061,,,A,672.0,3.0,,0.0,15.0,2.0,4.0,,0.0,22.0,3.0,RMA_RMC_345,5436.0,10.0,138.0,3.0,3.0,4.0,4.0,,2.0,,LEWIS AND CLARK,,ENT L-25-295A,1.266,0.0
2023.0,U-10409,A,0.292,C010409,A,C010409A,000+0.000,000+0.292,0.0,0.292,42-4A-024,,,E,1866.0,6.0,,6.0,19.0,2.0,3.0,,3.0,10.0,1.0,UMA_UC,9215.0,10.0,102.0,9.0,9.0,13.0,13.0,,2.0,,RICHLAND,JCT N-62(HOLLY ST),ENT U-10409A/,2.128,0.0
2023.0,U-10408,A,0.207,C010408,A,C010408A,000+0.392,000+0.598,0.392,0.598,42-4A-049,,,E,2756.0,19.0,,18.0,179.0,123.0,7.0,,7.0,65.0,45.0,UMA_UC,9146.0,26.0,119.0,89.0,89.0,129.0,129.0,,2.0,,RICHLAND,,,1.497,3.892
2023.0,U-10408,A,0.392,C010408,A,C010408A,000+0.000,000+0.392,0.0,0.392,42-4A-026,,,E,3061.0,19.0,,18.0,179.0,123.0,6.0,,6.0,58.0,40.0,UMA_UC,9146.0,26.0,119.0,89.0,89.0,129.0,129.0,,2.0,,RICHLAND,JCT N-62(HOLLY)/N-20(CENTRAL),ENT U-10408A/,1.497,3.892
2023.0,U-10407,A,0.235,C010407,A,C010407A,000+0.853,001+0.088,0.853,1.088,42-4A-050,,,E,2625.0,4.0,,7.0,283.0,182.0,2.0,,3.0,108.0,69.0,UMA_UC,8173.0,14.0,109.0,124.0,124.0,182.0,182.0,,2.0,,RICHLAND,,,5.742,5.742
2023.0,U-10407,A,0.212,C010407,A,C010407A,000+0.641,000+0.853,0.641,0.853,42-4A-027,,,E,3096.0,4.0,,7.0,283.0,182.0,1.0,,2.0,91.0,59.0,UMA_UC,8173.0,14.0,109.0,124.0,124.0,182.0,182.0,,2.0,,RICHLAND,JCT U-10406 (MAIN ST),JCT U-10406 (MAIN ST),5.742,5.742
2023.0,U-10407,A,0.288,C010407,A,C010407A,000+0.353,000+0.641,0.353,0.641,42-4A-057,,,E,2062.0,4.0,,7.0,283.0,182.0,2.0,,3.0,137.0,88.0,UMA_UC,8173.0,14.0,109.0,124.0,124.0,182.0,182.0,,2.0,,RICHLAND,JCT U-10404 (5TH ST SE),JCT U-10404 (5TH ST SE),5.742,5.742
2023.0,U-10407,A,0.072,C010407,A,C010407A,000+0.281,000+0.353,0.281,0.353,42-4A-057,,,E,2062.0,4.0,,7.0,283.0,182.0,2.0,,3.0,137.0,88.0,UMA_UC,8173.0,14.0,109.0,124.0,124.0,182.0,182.0,,2.0,,RICHLAND,,,5.742,5.742
2023.0,U-10407,A,0.281,C010407,A,C010407A,000+0.000,000+0.281,0.0,0.281,42-4A-028,,,E,2000.0,4.0,,7.0,283.0,182.0,2.0,,4.0,142.0,91.0,UMA_UC,8173.0,14.0,109.0,124.0,124.0,182.0,182.0,,2.0,,RICHLAND,JCT U-10402(14TH ST SE),ENT U-10407A/,5.742,5.742
2023.0,U-10406,A,0.361,C010406,A,C010406A,000+0.214,000+0.574,0.214,0.574,42-4A-035,,,E,998.0,11.0,,5.0,30.0,5.0,11.0,,5.0,30.0,5.0,UMA_UC,9077.0,10.0,119.0,13.0,13.0,19.0,19.0,,2.0,,RICHLAND,,,1.015,0.0
2023.0,U-10406,A,0.214,C010406,A,C010406A,000+0.000,000+0.214,0.0,0.214,42-4A-034,,,E,1946.0,11.0,,5.0,30.0,5.0,6.0,,3.0,15.0,3.0,UMA_UC,9077.0,10.0,119.0,13.0,13.0,19.0,19.0,,2.0,,RICHLAND,JCT N-20(CENTRAL AVE),ENT U-10406A/,1.015,0.0
2023.0,L-42-202,A,9.594,C010405,A,C010405A,001+0.793,011+0.387,1.793,11.387,42-2-022,,,E,341.0,4.0,,2.0,30.0,13.0,12.0,,6.0,88.0,38.0,RMA_RMC_345,5401.0,35.0,117.0,13.0,13.0,19.0,19.0,,2.0,,RICHLAND,,,0.538,0.0
2023.0,L-42-202,A,0.712,C010405,A,C010405A,001+0.081,001+0.793,1.081,1.793,42-4A-033,,,E,1752.0,4.0,,2.0,30.0,13.0,2.0,,1.0,17.0,7.0,UMA_UC,5401.0,35.0,117.0,13.0,13.0,19.0,19.0,,2.0,,RICHLAND,,ENT L-42-202A,0.538,0.0
2023.0,U-10405,A,0.293,C010405,A,C010405A,000+0.788,001+0.081,0.788,1.081,42-4A-033,,,E,1752.0,4.0,,2.0,30.0,13.0,2.0,,1.0,17.0,7.0,UMA_UC,5401.0,35.0,117.0,13.0,13.0,19.0,19.0,,2.0,,RICHLAND,JCT N-62(HOLLY ST),JCT N-62(HOLLY ST),0.538,0.0
2023.0,U-10405,A,0.22,C010405,A,C010405A,000+0.568,000+0.788,0.568,0.788,42-4A-032,,,E,3646.0,14.0,,6.0,31.0,6.0,4.0,,2.0,9.0,2.0,UMA_UC,8172.0,10.0,106.0,10.0,10.0,11.0,11.0,,2.0,,RICHLAND,,,0.865,0.576
