CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C001031,0.323,12402.0,4005.846,56-4A-124,YELLOWSTONE,56-4A-124,004+0.051,004+0.374,N-116,1,12402.0,4005.846
C001031,1.005,14046.0,14116.229999999998,56-4A-125,YELLOWSTONE,56-4A-125,003+0.046,004+0.051,N-116,7,2006.5714285714287,2016.6042857142854
C001031,0.514,17447.0,8967.758,56-4A-126,YELLOWSTONE,56-4A-126,002+0.532,003+0.046,U-1031,42,415.4047619047619,213.51804761904762
C001031,0.501,15945.0,7988.445,56-4A-127,YELLOWSTONE,56-4A-127,002+0.031,002+0.532,U-1031,29,549.8275862068965,275.46362068965516
C001031,0.51,20138.0,10270.380000000001,56-4A-128,YELLOWSTONE,56-4A-128,001+0.521,002+0.031,U-1031,10,2013.8,1027.038
C001031,0.446,13496.0,6019.216,56-4A-130,YELLOWSTONE,56-4A-130,000+0.577,001+0.023,U-1031,38,355.1578947368421,158.4004210526316
C001031,0.103,11761.0,1211.383,56-4A-131,YELLOWSTONE,56-4A-131,000+0.000,000+0.103,U-1031,2,5880.5,605.6915
C001031,0.474,11761.0,5574.714,56-4A-131,YELLOWSTONE,56-4A-131,000+0.103,000+0.577,U-1031,3,3920.3333333333335,1858.238
C001032,0.756,3606.0,2726.136,56-4A-324,YELLOWSTONE,56-4A-324,000+0.166,000+0.922,U-1032,5,721.2,545.2272
C001032,0.095,11013.0,1046.235,56-4A-325,YELLOWSTONE,56-4A-325,000+0.070,000+0.166,U-1032,2,5506.5,523.1175
C001035,0.124,14359.0,1780.516,56-4A-067,YELLOWSTONE,56-4A-067,000+0.091,000+0.215,U-1035,4,3589.75,445.129
C001035,0.091,5514.0,501.774,56-4A-068,YELLOWSTONE,56-4A-068,000+0.000,000+0.091,U-1035,1,5514.0,501.774
C001036,0.819,12208.0,9998.351999999999,56-4A-300,YELLOWSTONE,56-4A-300,002+0.039,002+0.859,U-1036,10,1220.8,999.8351999999999
C001036,0.578,7812.0,4515.335999999999,56-4A-301,YELLOWSTONE,56-4A-301,001+0.461,002+0.039,U-1036,5,1562.4,903.0671999999998
C001036,0.434,8033.0,3486.322,56-4A-302,YELLOWSTONE,56-4A-302,001+0.027,001+0.461,U-1036,1,8033.0,3486.322
C001036,0.498,7057.0,3514.386,56-4A-303,YELLOWSTONE,56-4A-303,000+0.530,001+0.027,U-1036,6,1176.1666666666667,585.731
C001036,0.53,3943.0,2089.79,56-4A-304,YELLOWSTONE,56-4A-304,000+0.000,000+0.530,U-1036,1,3943.0,2089.79
C001036,0.521,12156.0,6333.276,56-4A-337,YELLOWSTONE,56-4A-337,002+0.859,003+0.380,U-1036,8,1519.5,791.6595
C001089,0.504,8351.0,4208.904,56-4A-166,YELLOWSTONE,56-4A-166,000+0.000,000+0.504,L-56-2387,5,1670.2,841.7808000000001
C001089,0.246,6238.0,1534.548,56-4A-167,YELLOWSTONE,56-4A-167,000+0.504,000+0.751,L-56-2387,2,3119.0,767.274
C001089,0.244,5692.0,1388.848,56-4A-168,YELLOWSTONE,56-4A-168,000+0.751,000+0.994,L-56-2387,7,813.1428571428571,198.40685714285715
C001089,0.529,3761.0,1989.5690000000002,56-4A-169,YELLOWSTONE,56-4A-169,000+0.994,001+0.523,L-56-2387,1,3761.0,1989.5690000000002
C001112,1.01,362.0,365.62,812445T,BEAVERHEAD,812445T,000+0.000,001+0.010,L-1-112,1,362.0,365.62
C001201,0.07,8823.0,617.61,16-3A-045,GALLATIN,16-3A-045,000+0.408,000+0.479,U-1201,1,8823.0,617.61
C001201,0.271,20525.0,5562.275000000001,16-3B-027,GALLATIN,16-3B-027,002+0.999,003+0.268,U-1201,1,20525.0,5562.275000000001
C001201,0.204,28984.0,5912.736,16-3B-028,GALLATIN,16-3B-028,002+0.795,002+0.999,N-412,1,28984.0,5912.736
C001201,0.509,25570.0,13015.130000000001,16-3B-029,GALLATIN,16-3B-029,002+0.039,002+0.548,N-412,1,25570.0,13015.130000000001
C001202,0.26,16378.0,4258.28,16-3B-033,GALLATIN,16-3B-033,000+0.000,000+0.260,U-1202,1,16378.0,4258.28
C001203,0.258,6802.0,1754.916,16-3B-037,GALLATIN,16-3B-037,000+0.000,000+0.258,U-1203,1,6802.0,1754.916
C001203,0.357,7100.0,2534.7,16-3B-038,GALLATIN,16-3B-038,000+0.258,000+0.615,U-1203,5,1420.0,506.93999999999994
C001210,0.262,7957.0,2084.734,16-3B-076,GALLATIN,16-3B-076,000+0.686,000+0.947,U-1210,1,7957.0,2084.734
C001212,0.525,17798.0,9343.95,16-3B-082,GALLATIN,16-3B-082,000+0.000,000+0.525,U-1212,3,5932.666666666667,3114.65
C001212,0.262,14932.0,3912.184,16-3B-083,GALLATIN,16-3B-083,000+0.525,000+0.787,U-1212,3,4977.333333333333,1304.0613333333333
C001212,0.512,3865.0,1978.88,16-3B-088,GALLATIN,16-3B-088,002+0.106,002+0.617,U-1212,1,3865.0,1978.88
C001212,0.5,3512.0,1756.0,16-3B-089,GALLATIN,16-3B-089,002+0.617,003+0.117,U-1212,1,3512.0,1756.0
C001213,0.505,1836.0,927.1800000000001,16-3B-090,GALLATIN,16-3B-090,001+0.094,001+0.600,U-1213,1,1836.0,927.1800000000001
C001217,0.357,10391.0,3709.587,16-3B-021,GALLATIN,16-3B-021,000+0.000,000+0.357,U-1217,1,10391.0,3709.587
C001218,3.96,4834.0,19142.64,16-3A-027,GALLATIN,16-3A-027,002+0.932,006+0.892,L-16-701,7,690.5714285714286,2734.662857142857
C001218,0.999,4526.0,4521.474,16-3A-034,GALLATIN,16-3A-034,001+0.933,002+0.932,L-16-701,1,4526.0,4521.474
C001251,0.504,8845.0,4457.88,56-4A-292,YELLOWSTONE,56-4A-292,000+0.000,000+0.504,L-56-2389,11,804.0909090909091,405.26181818181817
C001251,0.427,11350.0,4846.45,56-4A-293,YELLOWSTONE,56-4A-293,000+0.504,000+0.931,L-56-2389,7,1621.4285714285713,692.35
C001251,0.574,11315.0,6494.8099999999995,56-4A-294,YELLOWSTONE,56-4A-294,000+0.931,001+0.505,L-56-2389,5,2263.0,1298.962
C001251,0.501,3973.0,1990.473,56-4A-295,YELLOWSTONE,56-4A-295,001+0.505,002+0.006,L-56-2389,13,305.61538461538464,153.1133076923077
C001268,0.504,6514.0,3283.056,56-4A-137,YELLOWSTONE,56-4A-137,000+0.508,001+0.013,L-56-2390,6,1085.6666666666667,547.176
C001268,0.508,2789.0,1416.8120000000001,56-4A-138,YELLOWSTONE,56-4A-138,000+0.000,000+0.508,L-56-2390,3,929.6666666666666,472.2706666666667
C001279,0.473,1462.0,691.526,56-4A-101,YELLOWSTONE,56-4A-101,003+0.556,004+0.029,L-56-2391,1,1462.0,691.526
C001279,0.538,5037.0,2709.906,56-4A-102,YELLOWSTONE,56-4A-102,003+0.018,003+0.556,L-56-2391,2,2518.5,1354.953
C001279,1.259,5113.0,6437.267,56-4A-103,YELLOWSTONE,56-4A-103,001+0.759,003+0.018,L-56-2391,6,852.1666666666666,1072.8778333333332
C001279,0.254,6889.0,1749.806,56-4A-104,YELLOWSTONE,56-4A-104,001+0.505,001+0.759,L-56-2391,1,6889.0,1749.806
C001279,0.504,8018.0,4041.072,56-4A-105,YELLOWSTONE,56-4A-105,001+0.001,001+0.505,L-56-2391,1,8018.0,4041.072
C001279,0.169,8510.0,1438.19,56-4A-106,YELLOWSTONE,56-4A-106,000+0.000,000+0.169,L-56-2391,2,4255.0,719.095
C001279,0.833,8510.0,7088.83,56-4A-106,YELLOWSTONE,56-4A-106,000+0.169,001+0.001,L-56-2391,4,2127.5,1772.2075
C001286,0.502,5235.0,2627.97,56-4A-080,YELLOWSTONE,56-4A-080,001+0.865,002+0.367,L-56-2392,2,2617.5,1313.985
C001286,0.248,5251.0,1302.248,56-4A-081,YELLOWSTONE,56-4A-081,001+0.617,001+0.865,L-56-2392,1,5251.0,1302.248
C001286,0.62,3529.0,2187.98,56-4A-082,YELLOWSTONE,56-4A-082,000+0.997,001+0.617,L-56-2392,3,1176.3333333333333,729.3266666666667
C001286,0.387,3313.0,1282.131,56-4A-083,YELLOWSTONE,56-4A-083,000+0.610,000+0.997,L-56-2392,2,1656.5,641.0655
C001286,0.61,2845.0,1735.45,56-4A-084,YELLOWSTONE,56-4A-084,000+0.000,000+0.610,L-56-2392,3,948.3333333333334,578.4833333333333
C001305,0.76,3218.0,2445.68,56-4A-311,YELLOWSTONE,56-4A-311,000+0.433,001+0.193,L-56-2393,5,643.6,489.13599999999997
C001305,0.433,2283.0,988.539,56-4A-312,YELLOWSTONE,56-4A-312,000+0.000,000+0.433,L-56-2393,2,1141.5,494.2695
C001308,0.833,219.0,182.427,091599J,CHOUTEAU,091599J,000+0.000,000+0.833,L-8-1003,1,219.0,182.427
C001309,7.882,194.0,1529.108,01-8-004,BEAVERHEAD,01-8-004,000+0.819,008+0.773,X-01309,2,97.0,764.554
C001323,0.516,11861.0,6120.276,56-4A-051,YELLOWSTONE,56-4A-051,000+0.000,000+0.516,L-56-2394,5,2372.2,1224.0552
C001330,0.29,10729.0,3111.41,087383W,YELLOWSTONE,087383W,000+0.485,000+0.775,L-56-2395,6,1788.1666666666667,518.5683333333333
C001330,0.485,3200.0,1552.0,56-4A-174,YELLOWSTONE,56-4A-174,000+0.000,000+0.485,L-56-2395,4,800.0,388.0
C001354,11.613,31.0,360.003,812451W,BEAVERHEAD,812451W,000+0.000,011+0.613,L-1-801,1,31.0,360.003
C001373,1.012,399.0,403.788,087350J,YELLOWSTONE,087350J,000+0.299,001+0.310,L-56-1114,1,399.0,403.788
C001373,0.299,1282.0,383.318,56-4A-347,YELLOWSTONE,56-4A-347,000+0.000,000+0.299,L-56-1114,7,183.14285714285714,54.75971428571428
C001411,0.508,4108.0,2086.864,56-4A-052,YELLOWSTONE,56-4A-052,000+0.000,000+0.508,L-56-2396,3,1369.3333333333333,695.6213333333334
C001411,1.113,7030.0,7824.39,56-4A-053,YELLOWSTONE,56-4A-053,000+0.508,001+0.621,L-56-2396,6,1171.6666666666667,1304.065
C001411,0.932,9007.0,8394.524000000001,56-4A-054,YELLOWSTONE,56-4A-054,001+0.621,002+0.553,L-56-2396,12,750.5833333333334,699.5436666666668
C001411,0.51,8933.0,4555.83,56-4A-055,YELLOWSTONE,56-4A-055,002+0.553,003+0.063,L-56-2396,7,1276.142857142857,650.8328571428572
C001411,0.405,8894.0,3602.07,56-4A-057,YELLOWSTONE,56-4A-057,003+0.276,003+0.681,L-56-2396,6,1482.3333333333333,600.345
C001535,0.949,583.0,553.2669999999999,086249G,GALLATIN,086249G,000+0.000,000+0.949,L-16-873,2,291.5,276.63349999999997
C001642,0.714,1738.0,1240.932,060049X,GALLATIN,060049X,000+0.512,001+0.226,L-16-886,1,1738.0,1240.932
C001657,1.512,3609.0,5456.808,16-3A-030,GALLATIN,16-3A-030,002+0.518,004+0.030,L-16-718,5,721.8,1091.3616
C001657,0.38,10779.0,4096.02,16-3B-102,GALLATIN,16-3B-102,000+0.000,000+0.380,L-16-718,1,10779.0,4096.02
