CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES
C000001,0.85621244,2470,2114.8447268,21-4-003,BLAINE,21-4-003,391+0.191,392+0.056,N-1,1
C000001,3.21312061,2470,7936.407906699999,21-4-003,BLAINE,21-4-003,393+0.056,396+0.289,N-1,2
C000001,2.48738989,3267,8126.302770630001,21-4A-002,HILL,21-4A-002,376+0.731,379+0.220,N-1,8
C000001,0.59659133,5051,3013.38280783,21-4A-003,HILL,21-4A-003,379+0.220,379+0.816,N-1,2
C000001,1.31446072,7858,10329.03233776,21-4A-006,HILL,21-4A-006,380+0.106,381+0.220,N-1,3
C000001,0.39902228,8543,3408.84733804,21-4A-007,HILL,21-4A-007,381+0.220,381+0.619,N-1,3
C000001,0.41417184,11748,4865.69077632,21-4A-008,HILL,21-4A-008,381+0.619,382+0.201,N-1,8
C000001,0.13894901,11748,1632.3729694800002,21-4A-008,HILL,21-4A-008,382+0.201,382+0.340,N-1,3
C000001,0.1482877,10681,1583.8609236999998,21-4A-010,HILL,21-4A-010,382+0.340,382+0.488,N-1,4
C000001,0.14243632,10681,1521.36233392,21-4A-010,HILL,21-4A-010,382+0.488,382+0.631,N-1,3
C000001,0.44065563,8499,3745.1321993700003,21-4A-011,HILL,21-4A-011,382+0.631,383+0.248,N-1,4
C000001,1.77509176,5841,10368.31097016,21-4A-013,HILL,21-4A-013,383+0.248,384+0.825,N-1,5
C000001,0.70340075,3443,2421.80878225,21-4A-015,HILL,21-4A-015,385+0.012,385+0.716,N-1,1
C000001,1.71881687,3443,5917.8864834099995,21-4A-015,HILL,21-4A-015,385+0.716,387+0.415,N-1,2
C000001,0.32081459,3443,1104.5646333700001,21-4A-015,HILL,21-4A-015,387+0.415,387+0.736,N-1,1
C000001,0.03398682,3443,117.01662126000001,21-4A-015,HILL,21-4A-015,390+0.975,391+0.009,N-1,1
C000001,3.63846319,446,1622.75458274,26-2-001,TOOLE,26-2-001,303+0.275,307+0.032,N-1,2
C000001,10.75645902,2574,27687.12551748,26-2-002,LIBERTY,26-2-002,309+0.029,319+0.793,N-1,1
C000001,4.75865886,1808,8603.65521888,26-2-011,LIBERTY,26-2-011,322+0.402,327+0.215,N-1,1
C000001,1.86412942,1667,3107.50374314,27-3-001,LINCOLN,27-3-001,001+0.891,003+0.795,N-1,4
C000001,6.24522103,1853,11572.39456859,27-3-002,LINCOLN,27-3-002,003+0.795,010+0.008,N-1,4
