CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C034122,0.113,94.66666666666667,10.697333333333335,098735F,PARK,098735F,000+0.000,000+0.113,L-34-122,2,47.333333333333336,5.348666666666667
C229140,0.247,22.0,5.434,31-1-055,MINERAL,31-1-055,000+0.000,000+0.247,R090W030ONA,1,22.0,5.434
C228403,0.208,27.5,5.72,25-7-019,LEWIS AND CLARK,25-7-019,000+0.000,000+0.208,R015S216OFA,1,27.5,5.72
C073883,0.36350705,132.0,47.9829306,32-3A-160,MISSOULA,32-3A-160,000+0.000,000+0.364,L-32-4607,8,16.5,5.997866325
C229331,0.35667204,17.0,6.063424680000001,56-4-038,YELLOWSTONE,56-4-038,000+0.000,000+0.357,R090W456OFA,1,17.0,6.063424680000001
C050150,1.54,4.0,6.16,088668L,TETON,088668L,000+0.000,001+0.540,L-50-150,1,4.0,6.16
C229241,0.235,26.5,6.2275,22-3-032,JEFFERSON,22-3-032,000+0.000,000+0.235,R090W233OFA,1,26.5,6.2275
C228170,0.243,25.75,6.25725,01-8-020,BEAVERHEAD,01-8-020,000+0.000,000+0.243,R015N000OFA,1,25.75,6.25725
C229336,0.00863743,3723.0,32.15715189,56-4-035,YELLOWSTONE,56-4-035,000+0.000,000+0.009,R090W450ONA,5,744.6,6.431430378
C229328,0.27374997,47.0,12.86624859,56-4-079,YELLOWSTONE,56-4-079,000+0.000,000+0.274,R090W469OFA,2,23.5,6.433124295
C228218,0.004,1612.3333333333333,6.449333333333334,47-1-032,SILVER BOW,47-1-032,000+0.000,000+0.004,R015N127ONA,1,1612.3333333333333,6.449333333333334
C229257,0.238976,27.0,6.452351999999999,34-2-019,PARK,34-2-019,000+0.000,000+0.239,R090W350OFA,1,27.0,6.452351999999999
C022531,2.595,10.0,25.950000000000003,22-3-011,JEFFERSON,22-3-011,000+0.000,002+0.595,L-22-531,4,2.5,6.487500000000001
C228614,0.36296496,18.0,6.5333692800000005,11-4-011,DAWSON,11-4-011,000+0.000,000+0.363,R094W198ONA,1,18.0,6.5333692800000005
C325896,0.289,45.666666666666664,13.197666666666665,31-2-048,MINERAL,31-2-048,000+0.000,000+0.289,R090E065ONA,2,22.833333333333332,6.598833333333332
C228938,0.155,86.0,13.33,31-1-053,MINERAL,31-1-053,000+0.000,000+0.155,R090E030ONA,2,43.0,6.665
C228438,0.218,31.0,6.758,07-1-021,CASCADE,07-1-021,000+0.000,000+0.218,R015S297OFA,1,31.0,6.758
C229010,0.32258524,42.0,13.54858008,32-4-013,MISSOULA,32-4-013,000+0.000,000+0.323,R090E130ONA,2,21.0,6.77429004
C000325,0.04178356,163.0,6.81072028,03-3-042,BLAINE,03-3-042,000+0.000,000+0.042,S-325,1,163.0,6.81072028
C223620,0.069,1086.6666666666667,74.98000000000002,087462H,YELLOWSTONE,087462H,001+0.524,001+0.593,L-56-933,11,98.7878787878788,6.816363636363638
C007112,0.176,156.25,27.5,14-6A-054,FERGUS,14-6A-054,000+0.000,000+0.176,U-7112,4,39.0625,6.875
C228988,0.2707106,77.0,20.8447162,12-1-019,DEER LODGE,12-1-019,000+0.000,000+0.271,R090E197OFA,3,25.666666666666668,6.9482387333333335
C229304,0.24974024,85.0,21.2279204,49-3-025,SWEET GRASS,49-3-025,000+0.000,000+0.250,R090W377OFA,3,28.333333333333332,7.0759734666666665
C229001,0.204,34.75,7.0889999999999995,39-3-063,POWELL,39-3-063,000+0.000,000+0.204,R090E170OFA,1,34.75,7.0889999999999995
C013032,0.43060487,17.0,7.320282789999999,03-3-040,BLAINE,03-3-040,000+0.000,000+0.431,L-3-32,1,17.0,7.320282789999999
