YEAR,DEPT_ID,DEPT_RBD,DEPT_MP,DEPT_ENDMP,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,TYC_CNTY,MAPSHEET,STATION,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,PCTPEAK_SU,PCTPEAK_CU,JCT_DESC,LINK_DESC
2020,I-90,A,437+0.234,437+0.490,0.25520329,C000090,A,C000090A,437+0.234,437+0.490,435.1087932,435.3639965,56,4B,3,56-4B-003,,,A,22704,79,409,48,3389,2636,3,18,2,149,116,UI,2024,20,100,1860,1860,2824,2824,,2,,YELLOWSTONE,0.229,0.595,"JCT OFF RAMP MOSSMAIN INTERCHANGE, EXIT 437","JCT OFF RAMP MOSSMAIN INTERCHANGE, EXIT 437"
2020,N-4,A,024+0.447,025+0.600,1.15298587,C000004,A,C000004A,024+0.447,025+0.600,24.51580398,25.66878985,5,3,26,05-3-026,,,A,4106,21,41,7,748,542,5,10,2,182,132,RPA_45,3025,13,109,319,319,479,479,,2,,CARBON,0.494,1.092,JCT P-72 NEAR BRIDGER,JCT P-72 NEAR BRIDGER
2020,S-218,A,024+0.768,029+0.265,4.49911649,C000218,A,C000218A,024+0.768,029+0.265,24.75456507,29.25368156,26,2,22,26-2-022,,,E,38,0,1,0,15,10,0,26,0,395,263,RMA_RMC_345,5026,10,258,5,5,7,7,,2,,LIBERTY,7.843,1.961,,
2020,L-8-1531,A,000+0.000,000+0.487,0.48706112,C003198,A,C003198A,000+0.000,000+0.487,0.0,0.48706112,8,5,31,08-5-031,,,E,99,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,CHOUTEAU,0.0,0.0,JCT AIRPORT RD,ENT L-8-1531A/
2020,N-1,A,216+0.471,218+0.017,1.68514299,C000001,A,C000001A,216+0.471,218+0.017,214.9832463,216.6683893,18,4,4,18-4-004,A-036,,A,1809,26,49,9,185,110,14,27,5,102,61,REC_PA,3004,10,149,54,54,75,75,,3,,GLACIER,0.339,0.339,,BEGIN 3 LANES
2020,I-94,A,095+0.230,103+0.655,8.47979798,C000094,A,C000094A,095+0.230,103+0.655,94.8452378,103.3250358,44,5,3,44-5-003,,,A,4393,11,125,36,1136,1068,3,28,8,259,243,RURAL OUTER INTERSTATE,1045,12,117,673,673,1017,1017,,2,,ROSEBUD,0.227,1.45,,
2020,S-338,A,015+0.262,017+0.326,2.06374998,C000338,A,C000338A,015+0.262,017+0.326,15.25339546,17.31714544,3,2,5,03-2-005,,,E,55,0,0,0,12,10,0,0,0,218,182,RMA_RMC_345,5196,29,267,5,5,8,8,,2,,BLAINE,1.667,1.667,,
2020,L-56-730,A,000+0.000,000+0.499,0.49941109,C000495,A,C000495A,000+0.000,000+0.499,0.0,0.49941109,56,4A,280,56-4A-280,,,E,2516,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,YELLOWSTONE,0.0,0.0,JCT U-1012 (WICKS LN),ENT L-56-730A/
2020,N-14,A,120+0.439,122+0.572,2.13069928,C000014,A,C000014A,120+0.439,122+0.572,120.2724946,122.4031939,19,2,1,19-2-001,,,A,1319,22,38,3,344,278,17,29,2,261,211,RPA_45,3044,10,139,149,149,224,224,,2,,WHEATLAND,0.152,2.047,,
2020,P-46,A,057+1.057,064+0.904,6.88573639,C000046,A,C000046A,057+1.057,064+0.904,57.8976414,64.78337779,1,2,1,01-2-001,,,A,589,3,22,0,18,14,5,37,0,31,24,REC_MA,4127,17,171,7,7,11,11,,2,,BEAVERHEAD,0.317,0.0,,
2020,I-90,A,000+0.000,000+0.139,0.13861562,C000090,A,C000090A,000+0.000,000+0.139,0.0,0.13861562,31,1,1,31-1-001,W-146,,A,6999,56,488,60,2229,1919,8,70,9,318,274,RURAL OUTER INTERSTATE,1019,10,164,1152,1152,1767,1767,,2,,MINERAL,0.914,1.486,,ENT I-90A
2020,U-5708,A,000+0.665,000+0.875,0.21003963,C000234,A,C000234A,000+0.665,000+0.875,0.66513649,0.87517612,21,4A,45,21-4A-045,,,E,7760,32,6,5,124,31,4,1,1,16,4,UMA_UC,8070,10,103,54,54,74,74,,2,,HILL,0.084,0.036,JCT U-5707(10TH ST),JCT U-5707(10TH ST)
2020,L-54-399,A,000+0.302,000+0.751,0.44876021,C004132,A,C004132A,000+0.302,000+0.751,0.30231466,0.75107487,54,2,22,54-2-022,,,E,1285,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,WHEATLAND,0.0,0.0,,
2020,P-51,A,016+0.783,027+0.251,10.41623902,C000051,A,C000051A,016+0.783,027+0.251,16.81562129,27.23186031,11,1,1,11-1-001,,,E,239,3,6,3,32,26,13,25,13,134,109,RMA_RMC_345,4073,10,130,15,15,23,23,,2,,DAWSON,0.0,1.049,,
2020,N-1,A,405+0.835,413+0.019,7.1728208,C000001,A,C000001A,405+0.835,413+0.019,405.1709658,412.3437866,3,3,4,03-3-004,,,A,2110,10,37,19,264,200,5,18,9,125,95,RPA_3,3012,10,121,126,126,194,194,,2,,BLAINE,0.332,0.616,JCT S-325,JCT S-325
2020,N-110,A,001+0.062,001+0.518,0.45519798,C000110,A,C000110A,001+0.062,001+0.518,1.06180303,1.51700101,7,2A,22,07-2A-022,,,A,5090,25,110,14,150,32,5,22,3,29,6,UPA,7025,10,106,54,54,76,76,Yes,2,,CASCADE,0.087,0.053,JCT U-5236(2ND AVE S),JCT U-5236(2ND AVE S)
2020,L-26-593,A,000+0.639,000+0.811,0.17159764,C002266,A,C002266A,000+0.639,000+0.811,0.63939618,0.81099382,26,2,24,26-2-024,,,E,126,0,0,0,0,0,0,0,0,0,0,UMA_UC,0,10,118,0,0,0,0,,2,,LIBERTY,0.0,0.0,,
2020,L-5-3851,A,000+0.000,000+0.451,0.4514207,C001800,A,C001800A,000+0.000,000+0.451,0.0,0.4514207,5,3,27,05-3-027,,,A,54,1,0,0,1,0,19,0,0,19,0,UMA_UC,9229,10,204,0,0,0,0,,2,,CARBON,1.852,0.0,JCT FAIRLANE AVE,ENT L-5-3851A/
2020,U-1027,A,002+0.614,002+0.621,0.00775849,C001027,A,C001027A,002+0.614,002+0.621,2.61351914,2.62127763,56,4A,276,56-4A-276,,,A,3886,7,0,24,62,28,2,0,6,16,7,UMA_UC,8022,10,114,32,32,44,44,,2,,YELLOWSTONE,0.0,0.0,,BEGIN 2 LANES
2020,N-5,A,081+0.167,081+0.520,0.35263574,C000005,A,C000005A,081+0.167,081+0.520,80.58579945,80.93843519,24,2,4,24-2-004,W-133,,A,4394,20,212,36,459,249,5,48,8,104,57,RPA_1,3093,15,146,115,115,150,150,,4,,LAKE,1.57,0.228,,BEGIN 4 LANES
2020,S-567,A,000+0.445,002+0.412,2.03460562,C000567,A,C000567A,000+0.445,002+0.412,0.44540268,2.4800083,27,3A,23,27-3A-023,,,A,1025,6,0,4,183,29,6,0,4,179,28,RMA_RMC_12,5372,10,134,39,39,55,55,,2,,LINCOLN,0.304,0.076,,
2020,S-422,A,008+0.269,008+0.535,0.26606862,C000422,A,C000422A,008+0.269,008+0.535,8.26405148,8.5301201,29,1,9,29-1-009,,,E,223,1,4,0,6,2,4,18,0,27,9,RMA_RMC_12,5259,10,184,2,2,2,2,,2,,JEFFERSON,4.348,0.0,,
2020,I-15,A,191+0.732,192+0.139,0.38366425,C000015,A,C000015A,191+0.732,192+0.139,191.3549447,191.738609,25,7C,1,25-7C-001,A-003,,A,13946,21,138,49,771,685,2,10,4,55,49,UI,2004,16,111,461,461,684,684,,2,,LEWIS AND CLARK,0.1,0.416,"JCT OFF RAMP CAPITOL INTERCHANGE, EXIT 192","JCT OFF RAMP CAPITOL INTERCHANGE, EXIT 192"
2020,I-90,A,226+0.731,228+0.380,1.59438496,C000090,A,C000090A,226+0.731,228+0.380,224.7838857,226.3782707,47,1C,4,47-1C-004,,,E,9241,58,344,94,1757,1511,6,37,10,190,164,RURAL INNER INTERSTATE,1032,10,124,916,916,1353,1353,,2,,SILVER BOW,0.278,1.24,JCT I-15 EAST BUTTE INTERCHANGE,ENT I-90A/BEGIN 2 LANES/JCT I-15 EAST BUTTE INTERCHANGE
