YEAR,DEPT_ID,DEPT_RBD,DEPT_MP,DEPT_ENDMP,DEPT_MIOFF,DEPT_KMOFF,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,CORR_KMOFF,TYC_CNTY,MAPSHEET,STATION,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,TYC_BEG_TI,TYC_END_TI
2019,S-297,N,030+0.355,036+0.084,30.867,49.6756,5.652,C000297,N,C000297N,030+0.355,036+0.084,30.867,36.519,49.6756,54,1,4,54-1-004,,TYC,E,93,0,0,0,11,3,0,0,0,118,32,RURAL MAJOR COLLECTOR,5148,10,197,3,3,4,4,,2,7064263,7064273
2019,S-472,N,019+0.424,023+0.485,19.223,30.9364,4.143,C000472,N,C000472N,019+0.424,023+0.485,19.223,23.366,30.9364,45,2,10,45-2-010,,TYC,E,175,5,0,1,14,3,29,0,6,80,17,RURAL MAJOR COLLECTOR,5302,30,138,5,5,7,7,,2,7059809,4520002
2019,I-15,N,151+0.730,156+0.909,151.226,243.3747,5.165,C000015,N,C000015N,151+0.730,156+0.909,151.226,156.391,243.3747,22,1,2,22-1-002,,TYC,E,3046,30,250,26,608,534,10,82,9,200,175,RURAL INTERSTATE,1008,10,122,331,331,485,485,,4,2210003,2210004
2019,L-7-501,N,003+0.895,011+0.357,0.0,0.0,7.462,C005225,N,C005225N,003+0.895,011+0.357,3.895,11.357,6.2684,7,1,35,07-1-035,,TYC,E,507,0,0,0,0,0,0,0,0,0,0,RURAL MAJOR COLLECTOR,0,10,143,0,0,0,0,,2,7040122,7039858
2019,N-1,E,032+0.454,032+0.901,32.582,52.4356,0.447,C000001,E,C000001E,032+0.454,032+0.901,32.582,33.029,52.4356,27,3A,13,27-3A-013,,TYC,A,7346,29,88,19,212,110,4,12,3,29,15,RURAL PRINCIPAL ARTERIAL,3029,10,106,80,80,115,115,,4,7145742,2720414
2019,L-7-988,N,000+0.000,002+0.021,0.0,0.0,2.021,C003873,N,C003873N,000+0.000,002+0.021,0.0,2.021,0.0,7,2A,277,07-2A-277,,TYC,E,1807,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7071186,7032241
2019,P-3,N,076+0.928,084+0.359,67.792,109.1006,7.345,C000003,N,C000003N,076+0.928,084+0.359,75.767,83.112,121.9352,37,3,22,37-3-022,A-039,TYC,A,426,30,12,2,76,33,70,28,5,178,77,RECREATIONAL,4120,10,247,20,20,29,29,,2,7145762,3720002
2019,P-31,N,003+0.861,012+0.964,3.842,6.1831,9.116,C000031,N,C000031N,003+0.861,012+0.964,3.842,12.958,6.1831,53,4,6,53-4-006,,TYC,A,888,4,5,5,75,42,5,6,6,84,47,RURAL MINOR ARTERIAL,4047,10,126,31,31,45,45,,2,7063222,7063487
2019,U-1032,S,000+0.166,000+0.921,0.166,0.2672,0.755,C001032,S,C001032S,000+0.166,000+0.921,0.166,0.921,0.2672,56,4A,324,56-4A-324,,TYC,A,2920,0,2,2,167,53,0,1,1,57,18,URBAN COLLECTOR,8024,16,182,56,56,80,80,,2,5640140,7064962
2019,L-46-1189,N,000+0.000,000+0.303,0.0,0.0,0.303,C006900,N,C006900N,000+0.000,000+0.303,0.0,0.303,0.0,46,1,20,46-1-020,,TYC,E,1208,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7035201,7041101
2019,U-5708,S,000+0.875,001+0.252,0.875,1.4082,0.39,C000234,S,C000234S,000+0.875,001+0.252,0.875,1.265,1.4082,21,4A,44,21-4A-044,,TYC,A,5382,33,6,9,143,52,6,1,2,27,10,URBAN MINOR ARTERIAL,8070,10,102,61,61,87,87,,2,2140034,7070400
2019,S-548,E,000+0.000,002+0.997,0.0,0.0,3.0,C000548,E,C000548E,000+0.000,002+0.997,0.0,3.0,0.0,15,7A,6,15-7A-006,,TYC,A,2495,8,0,22,82,10,3,0,9,33,4,RURAL MAJOR COLLECTOR,5358,17,111,37,37,49,49,,2,1530012,7047574
2019,X-81026,N,001+0.106,002+0.233,0.0,0.0,1.127,C005825,S,C005825S,001+0.106,002+0.233,1.106,2.233,1.7799,25,7C,245,25-7C-245,,TYC,E,3606,15,12,28,43,7,4,3,8,12,2,URBAN COLLECTOR,9140,10,124,26,26,33,33,,2,440,8696
2019,P-96,E,000+0.000,000+0.320,0.0,0.0,0.32,C000096,E,C000096E,000+0.000,000+0.320,0.0,0.32,0.0,20,1,10,20-1-010,,TYC,A,1471,10,102,8,115,59,7,69,5,78,40,RURAL MINOR ARTERIAL,4104,10,120,44,44,63,63,,2,2020006,7074526
2019,L-16-741,N,000+0.000,002+0.000,0.0,0.0,2.0,C001668,N,C001668N,000+0.000,002+0.000,0.0,2.0,0.0,16,3A,37,16-3A-037,,TYC,E,3199,29,0,3,125,107,9,0,1,39,33,RURAL MAJOR COLLECTOR,5402,10,162,58,58,80,80,,2,1630031,7061390
2019,S-386,E,001+0.288,001+0.533,1.289,2.0744,0.245,C000386,E,C000386E,001+0.288,001+0.533,1.289,1.534,2.0744,8,5A,19,08-5A-019,,TYC,E,952,4,0,1,5,5,4,0,1,5,5,RURAL MAJOR COLLECTOR,5234,10,135,3,3,4,4,,2,7031460,820011
2019,N-75,E,002+0.586,002+0.853,2.672,4.3002,0.267,C000075,E,C000075E,002+0.586,002+0.853,2.672,2.939,4.3002,14,6A,12,14-6A-012,,TYC,E,3852,12,14,25,261,178,3,4,6,68,46,URBAN PRINCIPAL ARTERIAL,4089,10,102,126,126,185,185,,2,1420034,1420002
2019,U-6735,N,000+0.000,000+0.990,0.0,0.0,0.99,C004917,N,C004917N,000+0.000,000+0.990,0.0,0.99,0.0,15,7B,102,15-7B-102,,TYC,A,3848,8,0,13,25,3,2,0,3,6,1,URBAN COLLECTOR,9166,10,173,14,14,18,18,,2,1520040,7044605
2019,N-1,E,521+0.416,529+0.478,520.657,837.9162,8.074,C000001,E,C000001E,521+0.416,529+0.478,520.657,528.731,837.9162,53,4,1,53-4-001,,TYC,A,1280,15,78,9,132,89,12,61,7,103,70,RURAL PRINCIPAL ARTERIAL,3015,10,134,50,50,72,72,,2,7063780,7063697
2019,L-37-761,N,000+0.000,000+0.688,0.0,0.0,0.688,C002549,N,C002549N,000+0.000,000+0.688,0.0,0.688,0.0,37,3,21,37-3-021,,TYC,E,110,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7030893,7022555
2019,P-36,E,025+0.490,033+0.406,25.488,41.019,7.924,C000036,E,C000036E,025+0.490,033+0.406,25.488,33.412,41.019,45,5,4,45-5-004,,TYC,A,1760,26,30,9,216,164,15,17,5,123,93,RURAL MINOR ARTERIAL,4057,27,118,95,95,140,140,,2,7060251,7109853
2019,U-8004,N,000+0.290,000+0.601,0.29,0.4667,0.311,C008004,N,C008004N,000+0.290,000+0.601,0.29,0.601,0.4667,9,2A,41,09-2A-041,,TYC,E,2640,0,2,6,31,6,0,1,2,12,2,URBAN COLLECTOR,9098,10,128,9,9,11,11,,2,940002,9803
2019,S-487,N,002+0.603,004+0.126,0.0,0.0,1.522,C000487,N,C000487N,002+0.603,004+0.126,2.6,4.122,4.1843,15,4A,51,15-4A-051,,TYC,A,3638,25,14,12,91,23,7,4,3,25,6,URBAN MINOR ARTERIAL,5316,35,114,33,33,44,44,,2,1530021,7105379
2019,P-89,N,001+0.724,002+0.012,1.724,2.7745,0.287,C000089,N,C000089N,001+0.724,002+0.012,1.724,2.011,2.7745,1,4A,4,01-4A-004,,TYC,E,7241,17,155,3,212,148,2,21,0,29,20,RURAL MINOR ARTERIAL,4119,10,123,85,85,115,115,,2,120281,7126630
2019,S-330,W,031+0.855,034+0.972,31.871,51.2914,3.086,C000330,W,C000330W,031+0.855,034+0.972,31.871,34.957,51.2914,7,3,20,07-3-020,,TYC,E,135,1,11,1,8,2,7,81,7,59,15,RURAL MAJOR COLLECTOR,5185,10,207,2,2,3,3,,2,7039834,730012
2019,S-238,S,001+0.318,002+0.219,0.935,1.5047,0.9,C000238,S,C000238S,001+0.318,002+0.219,1.316,2.216,2.1179,14,6A,22,14-6A-022,,TYC,E,1445,20,0,6,77,45,14,0,4,53,31,URBAN COLLECTOR,5065,10,117,31,31,45,45,,2,1440027,7043282
2019,S-269,N,020+0.055,021+0.357,18.577,29.8968,1.302,C000269,N,C000269N,020+0.055,021+0.357,19.979,21.281,32.1531,41,1,15,41-1-015,,TYC,A,7351,20,0,26,241,72,3,0,4,33,10,RURAL MAJOR COLLECTOR,5116,10,107,105,105,146,146,,2,4130000,7065488
2019,P-19,N,021+0.467,027+0.344,21.496,34.5945,5.703,C000019,N,C000019N,021+0.467,027+0.344,21.496,27.199,34.5945,12,1,5,12-1-005,,TYC,A,1218,8,18,5,52,18,7,15,4,43,15,RURAL MINOR ARTERIAL,4028,11,112,23,23,32,32,,2,7042122,7046977
2019,U-5804,E,000+0.000,000+0.658,0.0,0.0,0.658,C005804,E,C005804E,000+0.000,000+0.658,0.0,0.658,0.0,25,7C,32,25-7C-032,,TYC,E,2354,0,9,10,189,19,0,4,4,80,8,URBAN COLLECTOR,9041,10,119,40,40,52,52,,2,2540007,2540008
2019,N-8,E,083+0.072,088+0.440,83.024,133.6142,5.386,C000008,E,C000008E,083+0.072,088+0.440,83.024,88.41,133.6142,4,2,1,04-2-001,,TYC,E,3896,16,72,23,441,316,4,18,6,113,81,RURAL PRINCIPAL ARTERIAL,3091,35,107,187,187,274,274,,2,7038634,420004
2019,N-10,N,002+0.360,002+0.862,2.36,3.7981,0.502,C000010,N,C000010N,002+0.360,002+0.862,2.36,2.862,3.7981,7,2A,215,07-2A-215,,TYC,A,6827,18,120,41,497,198,3,18,6,73,29,URBAN PRINCIPAL ARTERIAL,7026,14,108,218,218,314,314,,2,720020,720021
