CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000090A,31-2-006,055+0.150,061+0.565,I-90,107,6.32,7346.0,46426.72,,MINERAL,,I-90,Interstate,21.4,343.2710280373832,2169.472897196262
C000090A,31-2-013,066+0.549,070+0.373,I-90,56,3.891,9170.0,35680.47,,MINERAL,,I-90,Interstate,11.2,818.75,3185.7562500000004
C000090A,31-2-013,070+0.373,074+0.756,I-90,48,4.391,8332.25,36586.90975,,MINERAL,,I-90,Interstate,9.6,867.9427083333334,3811.1364322916666
C000090A,31-2-014,077+0.182,077+0.229,I-90,0,0.047,8654.75,406.77325,,MISSOULA,,I-90,Interstate,0.0,,
C000090A,31-2-014,074+0.756,077+0.182,I-90,25,2.447,9168.0,22434.096,,MINERAL,,I-90,Interstate,5.0,1833.6,4486.8192
C000090A,31-2-014,077+0.229,082+0.164,I-90,95,4.959,8654.75,42918.90525,,MISSOULA,,I-90,Interstate,19.0,455.5131578947368,2258.88975
C000090A,32-3-001,082+0.164,084+0.781,I-90,61,2.569,10997.0,28251.293,,MISSOULA,,I-90,Interstate,12.2,901.3934426229508,2315.6797540983607
C000090A,32-3-001,084+0.781,089+0.501,I-90,83,4.524,10540.0,47682.96,,MISSOULA,,I-90,Interstate,16.6,634.9397590361446,2872.467469879518
C000090A,32-3-002,089+0.501,095+0.972,I-90,131,6.464,12145.0,78505.28,,MISSOULA,,I-90,Interstate,26.2,463.5496183206107,2996.3847328244274
C000090A,32-3-024,095+0.972,099+0.663,I-90,88,3.701,20998.0,77713.598,,MISSOULA,,I-90,Interstate,17.6,1193.0681818181818,4415.545340909091
C000090A,32-3A-001,099+0.663,101+0.481,I-90,33,1.817,24179.0,43933.243,,MISSOULA,,I-90,Interstate,6.6,3663.484848484849,6656.55196969697
C000090A,32-3A-002,101+0.481,104+0.596,I-90,94,3.111,27328.0,85017.40800000001,,MISSOULA,,I-90,Interstate,18.8,1453.6170212765958,4522.20255319149
C000090A,32-3A-003,104+0.596,105+0.368,I-90,31,0.771,24156.0,18624.276,,MISSOULA,,I-90,Interstate,6.2,3896.129032258064,3003.915483870968
C000090A,32-3A-004,105+0.368,106+0.981,I-90,54,1.614,30568.0,49336.752,,MISSOULA,,I-90,Interstate,10.8,2830.37037037037,4568.217777777778
C000090A,32-3A-005,106+0.981,109+0.801,I-90,146,2.83,20587.0,58261.21,,MISSOULA,,I-90,Interstate,29.2,705.0342465753425,1995.2469178082192
C000090A,32-3B-012,109+0.801,113+0.648,I-90,106,4.32,12431.0,53701.920000000006,,MISSOULA,,I-90,Interstate,21.2,586.367924528302,2533.1094339622646
C000090A,32-4-007,120+0.660,125+0.747,I-90,106,5.021,13690.0,68737.49,,MISSOULA,,I-90,Interstate,21.2,645.7547169811321,3242.3344339622645
C000090A,32-4-007,125+0.747,130+0.177,I-90,78,4.423,12613.0,55787.299,,MISSOULA,,I-90,Interstate,15.6,808.525641025641,3576.10891025641
C000090A,34-2-001,342+0.798,350+0.276,I-90,133,7.458,10954.75,81700.5255,,PARK,,I-90,Interstate,26.6,411.8327067669173,3071.448327067669
C000090A,34-2-001,350+0.276,352+0.537,I-90,54,2.268,10954.75,24845.372999999996,,PARK,,I-90,Interstate,10.8,1014.3287037037036,2300.4974999999995
C000090A,34-2-001,340+0.191,342+0.798,I-90,31,2.598,11531.0,29957.537999999997,,PARK,,I-90,Interstate,6.2,1859.8387096774193,4831.8609677419345
C000090A,34-2A-001,324+0.392,330+0.791,I-90,179,6.476,16471.0,106666.196,,PARK,,I-90,Interstate,35.8,460.0837988826816,2979.502681564246
C000090A,34-2A-002,330+0.791,332+1.011,I-90,77,2.197,18921.0,41569.437,,PARK,,I-90,Interstate,15.4,1228.6363636363635,2699.3140909090907
C000090A,34-2A-003,332+1.011,337+0.935,I-90,108,4.958,12794.0,63432.652,,PARK,,I-90,Interstate,21.6,592.3148148148148,2936.6968518518515
C000090A,34-2A-004,337+0.935,340+0.191,I-90,59,2.257,15703.0,35441.671,,PARK,,I-90,Interstate,11.8,1330.7627118644068,3003.531440677966
C000090A,39-3-001,161+0.658,166+0.088,I-90,39,4.023,11983.0,48207.609,,POWELL,,I-90,Interstate,7.8,1536.2820512820513,6180.462692307692
C000090A,39-3-001,166+0.088,169+1.052,I-90,75,3.947,10880.5,42945.3335,,POWELL,,I-90,Interstate,15.0,725.3666666666667,2863.0222333333336
C000090A,39-3-002,169+1.052,173+0.870,I-90,65,3.837,10271.0,39409.827000000005,,POWELL,,I-90,Interstate,13.0,790.0769230769231,3031.5251538461544
C000090A,39-3-003,178+0.883,184+0.694,I-90,58,5.424,9267.25,50265.564000000006,,POWELL,,I-90,Interstate,11.6,798.9008620689656,4333.23827586207
C000090A,39-3-003,175+0.649,178+0.883,I-90,36,3.229,9267.25,29923.95025,,POWELL,,I-90,Interstate,7.2,1287.1180555555554,4156.104201388889
C000090A,39-3-003,173+0.870,175+0.649,I-90,41,1.781,10463.0,18634.603,,POWELL,,I-90,Interstate,8.2,1275.9756097560976,2272.5125609756096
