CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000057A,23-1-002,024+0.505,026+0.498,N-57,11,1.975,2540.25,5016.993750000001,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,2.2,1154.6590909090908,2280.4517045454545
C000057A,23-1-002,021+0.246,024+0.279,N-57,15,2.947,2540.25,7486.11675,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,3.0,846.75,2495.37225
C000057A,23-1-002,026+0.498,027+0.417,N-57,4,0.909,2540.25,2309.08725,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,0.8,3175.3125,2886.3590624999997
C000057A,23-2-013,036+0.616,042+0.717,N-57,41,6.102,2586.0,15779.772,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,8.2,315.3658536585366,1924.3624390243904
C000057A,23-4-001,042+0.717,049+0.860,N-57,13,6.943,2466.5,17124.909499999998,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,2.6,948.653846153846,6586.503653846153
C000057A,23-4-001,049+0.860,054+0.879,N-57,9,5.012,2466.5,12362.097999999998,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,1.8,1370.2777777777778,6867.832222222221
C000057A,23-4-002,054+0.879,058+0.732,N-57,12,3.752,2650.0,9942.8,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,2.4,1104.1666666666667,4142.833333333333
C000057A,23-4-003,058+0.732,060+0.728,N-57,16,1.923,2816.0,5415.168,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,3.2,880.0,1692.2399999999998
C000057A,28-4-011,277+0.912,278+0.734,N-57,0,0.793,1118.0,886.5740000000001,,MCCONE,,MT-200/MT-3/US-87,NI-NHS,0.0,,
C000057A,28-4-012,278+0.734,279+0.065,N-57,1,0.278,1509.25,419.5715,,MCCONE,,MT-200/MT-3/US-87,NI-NHS,0.2,7546.25,2097.8575
C000057A,28-4-013,279+0.065,279+0.570,N-57,0,0.505,1881.0,949.905,,MCCONE,,MT-200/MT-3/US-87,NI-NHS,0.0,,
C000057A,28-4-014,279+0.570,279+0.834,N-57,2,0.264,1535.4,405.3456000000001,,MCCONE,,MT-200/MT-3/US-87,NI-NHS,0.4,3838.5,1013.364
C000057A,28-4-015,279+0.834,280+0.790,N-57,3,1.042,1163.25,1212.1065,,MCCONE,,MT-200/MT-3/US-87,NI-NHS,0.6,1938.75,2020.1775
C000057A,A-012,073+0.377,078+0.242,N-57,12,4.855,2489.25,12085.308750000002,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,2.4,1037.1875,5035.545312500001
C000057A,W-114,034+0.246,036+0.616,N-57,8,2.324,2204.25,5122.677,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,1.6,1377.65625,3201.673125
C000057A,W-114,032+0.971,034+0.246,N-57,9,1.361,2204.25,2999.98425,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,1.8,1224.5833333333333,1666.6579166666666
C000057A,W-126,000+0.000,005+0.865,N-57,51,5.977,1357.8,8115.5706,,CASCADE,,MT-200/MT-3/US-87,NI-NHS,10.2,133.11764705882354,795.6441764705883
