OBJECTID,ROUTE ID,BEGIN MILE,END MILE,BEGIN REFERENCE POINT,END REFERENCE POINT,DEPARTMENTAL ROUTE,ROUTE NAME,SIGNED ROUTE,SYSTEM,FUNCTIONAL CLASS,ROUTE CATEGORY,STATE MAINTAINED,MAINTENANCE SECTION,STATE RESPONSIBLE,SURFACE TYPE,SURFACE WIDTH,THROUGH LANES,SPEED LIMIT,DIVIDED,ONE WAY,COINCIDENT,SEASONAL,CITY,URBAN AREA,MPO,RESERVATION,NATIONAL PARK,COUNTY,MAINTENANCE DIVISION,FINANCIAL DISTRICT,ADMINISTRATIVE DISTRICT,JUNCTION DESCRIPTION,DESCRIPTION,RECORD LENGTH (MI),CENTERLINE MILEAGE,Shape__Length
6205,C000090D,453.8175,454.2059,455+0.8498,456+0.2422,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,24,1,65,Yes,,,,,Billings,Billings MPO Planning,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,JCT I-94 PINE HILL INTERCHANGE,BEGIN 1 LANE/SURFACE WIDTH CHANGE/JCT I-94 PINE HILL INTERCHANGE,0.38839999999999,0,897.448260436595
6206,C000090D,454.2059,454.7971,456+0.2422,456+0.8334,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,38,2,65,Yes,,,,,Billings,Billings MPO Planning,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,,BEGIN 2 LANES/SURFACE WIDTH CHANGE,0.591200000000015,0,1364.60852153325
6207,C000090D,454.7971,455.1779,456+0.8334,457+0.2155,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,38,2,65,Yes,,,,,Billings,Billings MPO Planning,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP PINEHILL INTERCHANGE, EXIT 456","JCT OFF RAMP PINEHILL INTERCHANGE, EXIT 456",0.380800000000022,0,878.396036943296
6208,C000090D,455.1779,455.186,457+0.2155,457+0.2237,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,38,2,65,Yes,,,,,,Billings MPO Planning,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,,LV BILLINGS URBAN AREA,0.00809999999995625,0,18.752580667094
6209,C000090D,455.186,455.4571,457+0.2237,457+0.4947,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,38,2,80,Yes,,,,,,Billings MPO Planning,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,,BEGIN 80 MPH SPEED LIMIT,0.271100000000047,0,620.329457021828
6210,C000090D,455.4571,460.4695,457+0.4947,462+0.5102,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,38,2,80,Yes,,,,,,,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,,LV BILLINGS MPO PLANNING AREA,5.01239999999996,0,11539.0484108361
6211,C000090D,460.4695,460.7657,462+0.5102,462+0.8064,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,38,2,80,Yes,,,,,,,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP PRYOR CREEK INTERCHANGE, EXIT 462","JCT OFF RAMP PRYOR CREEK INTERCHANGE, EXIT 462",0.296199999999999,0,683.212507483314
6212,C000090D,460.7657,467.974,462+0.8064,470+0.0202,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,37,2,80,Yes,,,,,,,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,7.20830000000001,0,16594.3541295299
6213,C000090D,467.974,470.846,470+0.0202,472+0.8880,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5102,Yes,Asphalt,37,2,80,Yes,,,,,,,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP ARROW CREEK INTERCHANGE, EXIT 469","JCT OFF RAMP ARROW CREEK INTERCHANGE, EXIT 469",2.87200000000001,0,6610.68244074117
6214,C000090D,470.846,471.0416,472+0.8880,473+0.0878,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,,LV MAINT SECT 5102/ENT MAINT SECT 5106,0.195600000000013,0,449.495887718214
6215,C000090D,471.0416,471.2006,473+0.0878,473+0.2468,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,38,2,80,Yes,,,,,,,,,YELLOWSTONE,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,0.158999999999992,0,365.517506539655
6216,C000090D,471.2006,476.9685,473+0.2468,478+0.9967,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,38,2,80,Yes,,,,,,,,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,LV YELLOWSTONE CO/ENT BIG HORN CO,5.7679,0,13281.0712570343
6217,C000090D,476.9685,482.6847,478+0.9967,484+0.6923,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,38,2,80,Yes,,,,,,,,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP FLY CREEK INTERCHANGE, EXIT 478","JCT OFF RAMP FLY CREEK INTERCHANGE, EXIT 478",5.71620000000001,0,13167.4062178749
6218,C000090D,482.6847,490.5799,484+0.6923,492+0.6047,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,38,2,80,Yes,,,,,,,,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP TOLUCA INTERCHANGE, EXIT 484","JCT OFF RAMP TOLUCA INTERCHANGE, EXIT 484",7.89519999999999,0,18169.5131756829
6219,C000090D,490.5799,493.6699,492+0.6047,495+0.7160,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,3.08999999999997,0,7115.29074065324
6220,C000090D,493.6699,494.2373,495+0.7160,496+0.2258,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,Hardin,,,,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,ENT HARDIN CITY LIMITS,0.567400000000021,0,1306.82592442267
6221,C000090D,494.2373,494.6333,496+0.2258,496+0.6218,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,Hardin,,,,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP W HARDIN INTERCHANGE, EXIT 495","JCT OFF RAMP W HARDIN INTERCHANGE, EXIT 495",0.396000000000015,0,911.879593587928
6222,C000090D,494.6333,494.9746,496+0.6218,496+0.9631,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,LV HARDIN CITY LIMITS,0.34129999999999,0,786.078376632979
6223,C000090D,494.9746,495.8335,496+0.9631,497+0.8581,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,ENT CROW RESERVATION,0.858900000000006,0,1980.41439125147
6224,C000090D,495.8335,501.5118,497+0.8581,503+0.5911,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP E HARDIN INTERCHANGE, EXIT 497","JCT OFF RAMP E HARDIN INTERCHANGE, EXIT 497",5.67829999999998,0,13093.166631098
6225,C000090D,501.5118,507.4412,503+0.5911,509+0.4764,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP DUNMORE INTERCHANGE, EXIT 503","JCT OFF RAMP DUNMORE INTERCHANGE, EXIT 503",5.92939999999999,0,13667.5842860945
6226,C000090D,507.4412,508.8757,509+0.4764,510+0.8875,I-90D,,I-90/US-212/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP CROW AGENCY INTERCHANGE, EXIT 509","JCT OFF RAMP CROW AGENCY INTERCHANGE, EXIT 509",1.43450000000001,0,3302.45327114075
6227,C000090D,508.8757,509.0618,510+0.8875,511+0.0809,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,LV I-90/US-212/US-87 / ENT I-90/US-87,0.18610000000001,0,428.533403567518
6228,C000090D,509.0618,512.9835,511+0.0809,515+0.0145,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP LITTLE BIG HORN INTERCHANGE, EXIT 510","JCT OFF RAMP LITTLE BIG HORN INTERCHANGE, EXIT 510",3.92170000000004,0,9022.63200848451
6229,C000090D,512.9835,514.3984,515+0.0145,516+0.4253,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP GARRYOWEN INTERCHANGE, EXIT 514","JCT OFF RAMP GARRYOWEN INTERCHANGE, EXIT 514",1.41489999999999,0,3252.7874784504
6230,C000090D,514.3984,515.8474,516+0.4253,517+0.8754,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5106,Yes,Asphalt,38,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,1.44899999999996,0,3330.71079415591
6231,C000090D,515.8474,526.6576,517+0.8754,528+0.6590,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,38,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,LV MAINT SECT 5106/ENT MAINT SECT 5101,10.8102,0,24746.5211193676
6232,C000090D,526.6576,527.5591,528+0.6590,529+0.5600,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,41,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,0.901499999999942,0,2029.57750074393
6233,C000090D,527.5591,528.9677,529+0.5600,530+0.9450,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,38,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,1.40860000000009,0,3189.56684762788
6234,C000090D,528.9677,529.5773,530+0.9450,531+0.5729,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,38,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP LODGE GRASS INTERCHANGE, EXIT 530","JCT OFF RAMP LODGE GRASS INTERCHANGE, EXIT 530",0.6096,0,1396.89293828887
6235,C000090D,529.5773,541.2531,531+0.5729,543+0.1962,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,41,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,11.6758,0,26659.3653540642
6236,C000090D,541.2531,542.2891,543+0.1962,544+0.2494,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,1.03599999999994,0,2360.81873870267
6237,C000090D,542.2891,548.2171,544+0.2494,550+0.1459,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP WYOLA INTERCHANGE, EXIT 544","JCT OFF RAMP WYOLA INTERCHANGE, EXIT 544",5.928,0,13489.2025706216
6238,C000090D,548.2171,552.5319,550+0.1459,554+0.4462,I-90D,,I-90/US-87,Interstate,1-Interstate,Road,Yes,5101,Yes,Asphalt,37,2,80,Yes,,,,,,,Crow Reservation,,BIG HORN,BILLINGS,BILLINGS,BILLINGS,"JCT OFF RAMP ABERDEEN INTERCHANGE, EXIT 549","JCT OFF RAMP ABERDEEN INTERCHANGE, EXIT 549",4.31479999999999,0,9787.73469061441
6240,C000091A,0,0.0588,000+0.0000,000+0.0588,P-91A,BIG TIMBER LOOP,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,30,2,35,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,ENT P-91A/ENT BR I-90/US-191,0.0588,0.0588,136.09388550386
6241,C000091A,0.0588,0.1247,000+0.0588,000+0.1247,P-91A,BIG TIMBER LOOP,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,30,2,35,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,JCT I-90 ON RAMP W BIG TIMBER INTERCHANGE,JCT I-90 ON RAMP W BIG TIMBER INTERCHANGE,0.0659,0.0659,152.405427796662
6242,C000091A,0.1247,0.1338,000+0.1247,000+0.1338,P-91A,BIG TIMBER LOOP,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,35,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,0.0091,0.0091,21.1024783042767
6243,C000091A,0.1338,0.7156,000+0.1338,001+0.1505,P-91A,BIG TIMBER LOOP,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,BEGIN 45 MPH SPEED LIMIT,0.5818,0.5818,1342.78539498916
6244,C000091A,0.7156,0.8062,001+0.1505,001+0.2411,P-91A,BIG TIMBER LOOP,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,35,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,BEGIN 35 MPH SPEED LIMIT,0.0906,0.0906,209.274333591485
6245,C000091A,0.8062,0.8101,001+0.2411,001+0.2450,P-91A,BIG TIMBER LOOP,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,35,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,ENT BIG TIMBER CITY LIMITS,0.00390000000000001,0.00390000000000001,8.99977853274061
6246,C000091A,0.8101,0.9453,001+0.2450,001+0.3802,P-91A,1ST AVE,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,58,2,35,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,LV BIG TIMBER LOOP/ENT 1ST AVE/SURFACE WIDTH CHANGE/AADT CHANGE,0.1352,0.1352,312.084189696403
6247,C000091A,0.9453,1.1687,001+0.3802,001+0.6036,P-91A,1ST AVE,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,58,2,25,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,BEGIN 25 MPH SPEED LIMIT,0.2234,0.2234,516.219117906293
6248,C000091A,1.1687,1.3967,001+0.6036,001+0.8316,P-91A,1ST AVE,BR I-90/US-191,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,58,2,25,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,JCT S-298,AADT CHANGE/JCT S-298,0.228,0.228,526.557141138066
6249,C000091A,1.3967,1.4199,001+0.8316,001+0.8548,P-91A,1ST AVE,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,58,2,25,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,JCT P-45,LV BR I-90/US-191 / ENT BR I-90/AADT CHANGE/JCT P-45,0.0231999999999999,0.0231999999999999,53.5591797922248
6250,C000091A,1.4199,1.6762,001+0.8548,002+0.1037,P-91A,1ST AVE,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,25,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,0.2563,0.2563,591.249758060313
6251,C000091A,1.6762,1.8217,002+0.1037,002+0.2492,P-91A,1ST AVE,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,35,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,BEGIN 35 MPH SPEED LIMIT,0.1455,0.1455,335.819470260425
6252,C000091A,1.8217,1.9284,002+0.2492,002+0.3559,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,35,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,LV 1ST AVE/ENT BIG TIMBER LOOP,0.1067,0.1067,246.162842472265
6253,C000091A,1.9284,2.0473,002+0.3559,002+0.4748,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,45,,,,,Big Timber,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,BEGIN 45 MPH SPEED LIMIT,0.1189,0.1189,274.233453433827
6254,C000091A,2.0473,2.0537,002+0.4748,002+0.4812,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,LV BIG TIMBER CITY LIMITS,0.00640000000000018,0.00640000000000018,14.8085257050911
6255,C000091A,2.0537,2.0698,002+0.4812,002+0.4973,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,AADT CHANGE,0.0160999999999998,0.0160999999999998,37.2658397734068
6256,C000091A,2.0698,2.1609,002+0.4973,002+0.5884,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,35,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,0.0911,0.0911,210.194860740865
6257,C000091A,2.1609,2.215,002+0.5884,002+0.6425,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Concrete,35,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,BEGIN CONCRETE SURFACE,0.0541,0.0541,124.377948287014
6258,C000091A,2.215,2.285,002+0.6425,002+0.7125,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,35,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,BEGIN ASPHALT SURFACE,0.0700000000000003,0.0700000000000003,161.470638911034
6259,C000091A,2.285,2.8985,002+0.7125,003+0.3620,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,28,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,0.6135,0.6135,1412.03933858385
6260,C000091A,2.8985,3.5073,003+0.3620,003+0.9708,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,43,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,,SURFACE WIDTH CHANGE,0.6088,0.6088,1404.72795366613
6261,C000091A,3.5073,3.5861,003+0.9708,003+1.0495,P-91A,BIG TIMBER LOOP,BR I-90,Primary,4-Minor Arterial,Road,Yes,5113,Yes,Asphalt,43,2,45,,,,,,,,,,SWEET GRASS,BILLINGS,BILLINGS,BILLINGS,JCT I-90 ON RAMP E BIG TIMBER INTERCHANGE,JCT I-90 ON RAMP E BIG TIMBER INTERCHANGE,0.0788000000000002,0.0788000000000002,182.027746877277
6263,C000092A,0,0.531,000+0.0000,000+0.5310,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,83,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,JCT N-7 (BROOKS ST),ENT N-92A/ENT US-93/BEGIN DIVIDED ROADWAY/,0.531,0.531,1251.68100858015
6264,C000092A,0.531,0.8444,000+0.5310,000+0.8444,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,83,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,0.3134,0.3134,738.934955588389
6265,C000092A,0.8444,1.3476,000+0.8444,001+0.3436,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,83,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,JCT U-8120(SOUTH AVE),AADT CHANGE/JCT U-8120(SOUTH AVE),0.5032,0.5032,1186.5922825897
6266,C000092A,1.3476,1.849,001+0.3436,001+0.8449,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,83,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,JCT U-8116(MOUNT AVE),AADT CHANGE/JCT U-8116(MOUNT AVE),0.5014,0.5014,1182.1679408952
6267,C000092A,1.849,2.1001,001+0.8449,002+0.0783,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,83,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,0.2511,0.2511,592.200889102341
6268,C000092A,2.1001,2.137,002+0.0783,002+0.1152,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,83,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,JCT U-8102(S 3RD ST),AADT CHANGE/JCT U-8102(S 3RD ST),0.0369000000000002,0.0369000000000002,87.1673959946913
6269,C000092A,2.137,2.2087,002+0.1152,002+0.1869,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.0716999999999999,0.0716999999999999,169.108445384286
6270,C000092A,2.2087,2.7436,002+0.1869,002+0.7218,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,END DIVIDED ROADWAY,0.5349,0.5349,1261.40405772875
6271,C000092A,2.7436,3.396,002+0.7218,003+0.4013,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,0.6524,0.6524,1538.38094969709
6272,C000092A,3.396,3.7845,003+0.4013,003+0.7898,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,JCT U-8124/U-8123(MULLAN RD),AADT CHANGE/BEGIN DIVIDED ROADWAY/JCT U-8124/U-8123(MULLAN RD),0.3885,0.3885,916.664860110182
6273,C000092A,3.7845,4.1501,003+0.7898,004+0.1074,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,0.3656,0.3656,862.610036735458
6274,C000092A,4.1501,4.2427,004+0.1074,004+0.2000,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,0.0926,0.0926,218.536786110804
6275,C000092A,4.2427,4.3596,004+0.2000,004+0.3169,N-92A,RESERVE ST,US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,END DIVIDED ROADWAY,0.1169,0.1169,275.804149511202
6276,C000092A,4.3596,4.5515,004+0.3169,004+0.5087,N-92A,RESERVE ST,BR I-90/US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,LV US-93 / ENT BR I-90/US-93,0.1919,0.1919,452.724073830367
6277,C000092A,4.5515,4.6784,004+0.5087,004+0.6357,N-92A,RESERVE ST,BR I-90/US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,BEGIN DIVIDED ROADWAY,0.1269,0.1269,299.642840331662
6278,C000092A,4.6784,4.983,004+0.6357,004+0.9403,N-92A,RESERVE ST,BR I-90/US-93,NI-NHS,3-Principal Arterial - Other,Road,Yes,1101,Yes,Concrete,75,4,45,Yes,,,,Missoula,Missoula,Missoula MPO Planning,,,MISSOULA,MISSOULA,MISSOULA,MISSOULA,,AADT CHANGE,0.3046,0.3046,718.589021397361
