OBJECTID,ROUTE ID,BEGIN MILE,END MILE,BEGIN REFERENCE POINT,END REFERENCE POINT,DEPARTMENTAL ROUTE,ROUTE NAME,SIGNED ROUTE,SYSTEM,FUNCTIONAL CLASS,ROUTE CATEGORY,STATE MAINTAINED,MAINTENANCE SECTION,STATE RESPONSIBLE,SURFACE TYPE,SURFACE WIDTH,THROUGH LANES,SPEED LIMIT,DIVIDED,ONE WAY,COINCIDENT,SEASONAL,CITY,URBAN AREA,MPO,RESERVATION,NATIONAL PARK,COUNTY,MAINTENANCE DIVISION,FINANCIAL DISTRICT,ADMINISTRATIVE DISTRICT,JUNCTION DESCRIPTION,DESCRIPTION,RECORD LENGTH (MI),CENTERLINE MILEAGE,Shape__Length
31,C000001A,29.8604,29.9554,029+0.9241,029+1.0191,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,42,2,55,Yes,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN DIVIDED ROADWAY,0.0950000000000024,0.0950000000000024,230.121985286611
32,C000001A,29.9554,30.3238,029+1.0191,030+0.3234,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,55,Yes,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 4 LANES/SURFACE WIDTH CHANGE,0.368399999999998,0.368399999999998,892.68963144474
33,C000001A,30.3238,31.1835,030+0.3234,031+0.1782,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,45,Yes,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 45 MPH SPEED LIMIT,0.8597,0.8597,2082.8766417316
34,C000001A,31.1835,31.5663,031+0.1782,031+0.5610,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,45,Yes,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,0.3828,0.3828,927.442749702876
35,C000001A,31.5663,31.7407,031+0.5610,031+0.7355,N-1A,,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,35,Yes,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 35 MPH SPEED LIMIT,0.174400000000002,0.174400000000002,422.503192632024
36,C000001A,31.7407,31.78,031+0.7355,031+0.7748,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,35,Yes,,,,,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,ENT 9TH ST,0.0393000000000008,0.0393000000000008,95.1763449087128
37,C000001A,31.78,31.887,031+0.7748,031+0.8818,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,35,Yes,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,ENT LIBBY CITY LIMITS,0.106999999999999,0.106999999999999,259.330131642017
38,C000001A,31.887,31.9537,031+0.8818,031+0.9484,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,35,Yes,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,AADT CHANGE,0.0667000000000009,0.0667000000000009,161.51078376465
39,C000001A,31.9537,32.1608,031+0.9484,032+0.0869,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,65,4,25,Yes,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,BEGIN 25 MPH SPEED LIMIT,0.207100000000001,0.207100000000001,501.909109589056
40,C000001A,32.1608,32.1993,032+0.0869,032+0.1254,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,25,Yes,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,SURFACE WIDTH CHANGE,0.0384999999999991,0.0384999999999991,93.3605053062031
41,C000001A,32.1993,32.3304,032+0.1254,032+0.2565,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,25,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,,END DIVIDED ROADWAY,0.131099999999996,0.131099999999996,317.317032265689
42,C000001A,32.3304,32.5256,032+0.2565,032+0.4517,N-1A,9TH ST,US-2,NI-NHS,3-Principal Arterial - Other,Road,Yes,1219,Yes,Asphalt,48,4,25,,,,,Libby,,,,,LINCOLN,KALISPELL,MISSOULA,MISSOULA,JCT P-33,AADT CHANGE/JCT P-33,0.1952,0.1952,472.543761872024
