route,segment_name,SIGNED_ROUTE,crashes,length,DEPT_ID,TOTAL_CRASHES,AVG_TYC_AADT,MILES_DRIVEN,ROUTE_NAME,SYSTEM,CARS_PER_ACCIDENT,MILES_PER_ACCIDENT,CRASHES_PER_100M_VMT
US-2_N-1_Havre_Chinook,US-2_N-1_Havre_Chinook,US-2,113,20.549000,N-1,113,3233.323337,66441.561250,,NI-NHS,28.613481,587.978418,93.127595
US-2_N-1_Cut-Bank_Shelby,US-2_N-1_Cut-Bank_Shelby,US-2,69,23.053000,N-1,69,1838.397331,42380.573667,,NI-NHS,26.643440,614.211213,89.150140
I-90_I-90_Missoula_Deer-Lodge,I-90_I-90_Missoula_Deer-Lodge,I-90,1592,82.611000,I-90,1592,12172.060307,1005546.074000,,Interstate,7.645767,631.624418,86.692367
I-15_I-15_Great-Falls_Conrad,I-15_I-15_Great-Falls_Conrad,I-15,435,60.373000,I-15,435,4872.011503,294137.950500,,Interstate,11.200026,676.179197,80.980036
I-90_I-90_Big-Timber_Columbus,I-90_I-90_Big-Timber_Columbus,I-90,627,38.093000,I-90,627,11142.728651,424459.962500,,Interstate,17.771497,676.969637,80.885483
I-94_I-94_Forsyth_Miles-City,I-94_I-94_Forsyth_Miles-City,I-94,324,43.266000,I-94,324,5070.373839,219374.794500,,Interstate,15.649302,677.082699,80.871976
I-94_I-94_Start-at-Jct-near-Billings_Forsyth,I-94_I-94_Start-at-Jct-near-Billings_Forsyth,I-94,709,94.606000,I-94,709,5092.129704,481746.022750,,Interstate,7.182129,679.472529,80.587534
I-90_I-90_Livingston_Big-Timber,I-90_I-90_Livingston_Big-Timber,I-90,644,37.573000,I-90,644,11662.340351,438189.114000,,Interstate,18.109224,680.417879,80.475569
MT-200_MT-3_US-87_N-57_Grass-Range_Glendive,MT-200_MT-3_US-87_N-57_Grass-Range_Glendive,MT-200/MT-3/US-87,203,210.763000,N-57,203,664.520921,140056.422800,,NI-NHS,3.273502,689.933117,79.365687
MT-41_N-49,MT-41_N-49,MT-41,103,27.216000,N-49,103,2611.331000,71069.984500,N MONTANA ST,NI-NHS,25.352728,689.999850,79.358011
MT-87_P-13_Idaho-Border_Ennis,MT-87_P-13_Idaho-Border_Ennis,MT-87,138,48.722000,P-13,138,1962.919006,95637.339833,,Primary,14.224051,693.024202,79.011693
I-90_I-90_Manhattan_Belgrade,I-90_I-90_Manhattan_Belgrade,I-90,249,8.875000,I-90,249,19452.000000,172636.500000,,Interstate,78.120482,693.319277,78.978066
I-90_I-90_Belgrade_Bozeman,I-90_I-90_Belgrade_Bozeman,I-90,396,9.260000,I-90,396,29941.296652,277256.407000,,Interstate,75.609335,700.142442,78.208394
US-2_N-1_Malta_Glasgow,US-2_N-1_Malta_Glasgow,US-2,125,67.038000,N-1,125,1359.168934,91115.967000,,NI-NHS,10.873351,728.927736,75.119951
US-2_N-1_Chinook_Malta,US-2_N-1_Chinook_Malta,US-2,144,66.105000,N-1,144,1622.395114,107248.429000,,NI-NHS,11.266633,744.780757,73.520986
I-94_I-94_Miles-City_Glendive,I-94_I-94_Miles-City_Glendive,I-94,427,74.694000,I-94,427,4352.550914,325109.438000,,Interstate,10.193328,761.380417,71.918077
I-90_I-90_Deer-Lodge_Butte,I-90_I-90_Deer-Lodge_Butte,I-90,485,30.900000,I-90,485,12121.974045,374568.998000,,Interstate,24.993761,772.307212,70.900562
I-90_I-90_Three-Forks_Manhattan,I-90_I-90_Three-Forks_Manhattan,I-90,252,10.404000,I-90,252,18966.011678,197322.385500,,Interstate,75.261951,783.025339,69.930069
I-90_I-90_Billings_Hardin,I-90_I-90_Billings_Hardin,I-90,600,45.710000,I-90,600,10369.760359,474001.746000,,Interstate,17.282934,790.002910,69.312423
I-90_I-90_Laurel_Billings,I-90_I-90_Laurel_Billings,I-90,508,15.705000,I-90,508,25650.116523,402835.080000,,Interstate,50.492355,792.982441,69.051990
